"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 03- 09","1,300.31","1,294.27","1,300.31","1,286.71","8.53K","0.09%"
"2016- 03- 08","1,299.14","1,310.34","1,311.91","1,294.68","10.51K","-1.09%"
"2016- 03- 07","1,313.44","1,323.90","1,328.56","1,312.83","8.32K","-0.58%"
"2016- 03- 04","1,321.04","1,326.29","1,326.50","1,317.74","8.25K","-0.46%"
"2016- 03- 03","1,327.10","1,325.86","1,327.10","1,314.80","10.30K","0.80%"
"2016- 03- 02","1,316.58","1,316.22","1,322.01","1,312.44","9.63K","1.93%"
"2016- 02- 29","1,291.59","1,301.00","1,301.22","1,291.59","9.13K","-0.45%"
"2016- 02- 26","1,297.41","1,304.59","1,305.66","1,292.76","9.73K","0.00%"
"2016- 02- 25","1,297.40","1,307.35","1,311.73","1,291.90","7.66K","-0.39%"
"2016- 02- 24","1,302.54","1,294.10","1,306.35","1,289.81","9.93K","0.94%"
"2016- 02- 23","1,290.38","1,291.91","1,295.76","1,287.57","7.42K","0.40%"
"2016- 02- 22","1,285.20","1,285.03","1,290.99","1,279.41","7.68K","0.15%"
"2016- 02- 19","1,283.33","1,282.75","1,287.31","1,273.59","8.42K","-0.23%"
"2016- 02- 18","1,286.31","1,292.61","1,292.61","1,281.36","10.45K","0.99%"
"2016- 02- 17","1,273.72","1,269.17","1,283.01","1,268.06","13.50K","0.94%"
"2016- 02- 16","1,261.80","1,239.50","1,267.00","1,238.74","9.24K","2.38%"
"2016- 02- 15","1,232.51","1,236.49","1,238.32","1,228.29","7.86K","1.17%"
"2016- 02- 12","1,218.23","1,215.57","1,230.67","1,210.10","9.42K","-0.41%"
"2016- 02- 11","1,223.22","1,233.02","1,236.07","1,220.37","7.57K","-3.53%"
"2016- 02- 05","1,268.00","1,265.68","1,273.22","1,262.05","5.76K","0.15%"
"2016- 02- 04","1,266.06","1,251.00","1,266.07","1,249.98","8.49K","1.67%"
"2016- 02- 03","1,245.25","1,256.40","1,256.40","1,242.93","7.70K","-2.04%"
"2016- 02- 02","1,271.24","1,276.60","1,281.72","1,268.38","6.83K","-1.02%"
"2016- 02- 01","1,284.28","1,278.91","1,286.18","1,275.06","10.42K","0.90%"
"2016- 01- 29","1,272.85","1,276.34","1,276.34","1,248.09","11.43K","-0.96%"
"2016- 01- 28","1,285.24","1,284.75","1,286.52","1,270.52","9.24K","-1.66%"
"2016- 01- 27","1,306.97","1,296.05","1,306.97","1,292.13","11.52K","1.77%"
"2016- 01- 26","1,284.18","1,296.74","1,306.14","1,282.47","14.34K","-1.65%"
"2016- 01- 25","1,305.70","1,302.79","1,311.79","1,293.50","6.88K","0.61%"
"2016- 01- 22","1,297.79","1,276.34","1,297.79","1,276.34","8.06K","3.38%"
"2016- 01- 21","1,255.38","1,263.29","1,274.13","1,255.38","7.83K","-0.78%"
"2016- 01- 20","1,265.25","1,296.65","1,297.22","1,259.79","10.62K","-3.02%"
"2016- 01- 19","1,304.66","1,290.64","1,304.66","1,282.57","11.03K","0.97%"
"2016- 01- 18","1,292.11","1,267.26","1,295.91","1,264.47","9.42K","0.00%"
