"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 04- 15","395.43","400.29","400.61","394.82","5.39K","-0.70%"
"2014- 04- 14","398.20","397.31","399.37","396.30","4.16K","-0.13%"
"2014- 04- 11","398.70","396.73","398.81","395.03","5.05K","-0.57%"
"2014- 04- 10","401.00","402.13","404.02","400.68","6.58K","0.51%"
"2014- 04- 09","398.98","394.34","399.39","393.89","6.05K","1.64%"
"2014- 04- 08","392.56","388.91","392.81","388.49","4.46K","0.40%"
"2014- 04- 07","390.99","392.74","394.25","389.42","4.19K","-1.09%"
"2014- 04- 04","395.29","395.17","398.09","393.87","6.08K","0.25%"
"2014- 04- 03","394.32","394.81","398.88","394.16","7.08K","0.10%"
"2014- 04- 02","393.93","395.63","395.93","392.82","6.32K","-0.23%"
"2014- 04- 01","394.84","392.80","394.93","389.77","6.06K","0.21%"
"2014- 03- 31","394.03","395.50","395.83","390.37","5.69K","-0.30%"
"2014- 03- 28","395.22","387.92","395.69","387.11","5.81K","1.86%"
"2014- 03- 27","388.02","388.85","389.52","385.12","7.93K","0.02%"
"2014- 03- 26","387.93","390.30","390.48","385.74","7.92K","0.05%"
"2014- 03- 25","387.73","379.26","388.60","377.47","7.28K","2.10%"
"2014- 03- 24","379.75","379.80","383.11","379.41","5.05K","0.43%"
"2014- 03- 21","378.12","378.78","379.31","375.63","5.14K","0.58%"
"2014- 03- 20","375.93","380.34","381.38","375.37","4.80K","-1.44%"
"2014- 03- 19","381.43","385.10","385.10","380.84","3.79K","-0.52%"
"2014- 03- 18","383.44","387.26","387.84","383.14","5.08K","0.39%"
"2014- 03- 17","381.96","378.63","382.80","378.56","4.68K","0.73%"
"2014- 03- 14","379.19","380.17","382.36","377.14","6.59K","-1.83%"
"2014- 03- 13","386.24","384.98","388.30","381.31","7.48K","0.98%"
"2014- 03- 12","382.50","394.89","394.99","381.54","10.25K","-3.60%"
"2014- 03- 11","396.79","397.51","397.87","393.28","4.52K","0.30%"
"2014- 03- 10","395.61","402.07","402.07","395.14","5.06K","-1.63%"
"2014- 03- 07","402.17","406.00","409.23","401.61","4.74K","-0.56%"
"2014- 03- 06","404.44","405.79","405.88","402.08","5.82K","-0.01%"
"2014- 03- 05","404.50","398.46","404.50","398.36","9.67K","2.57%"
"2014- 03- 04","394.36","396.29","397.88","393.52","5.02K","-0.91%"
"2014- 03- 03","397.97","396.93","399.73","395.56","5.26K","-0.35%"
"2014- 02- 28","399.38","404.98","405.25","399.13","6.98K","-1.38%"
"2014- 02- 27","404.96","401.58","405.65","399.80","4.75K","0.86%"
"2014- 02- 26","401.51","403.32","404.18","400.70","6.20K","-0.83%"
"2014- 02- 25","404.87","406.08","407.69","400.38","8.83K","-0.05%"
"2014- 02- 24","405.06","406.05","407.85","404.08","5.37K","-0.17%"
"2014- 02- 21","405.75","407.73","408.67","403.58","6.54K","0.43%"
"2014- 02- 20","404.02","394.86","407.40","394.31","13.17K","2.32%"
"2014- 02- 19","394.87","394.50","398.32","392.34","7.11K","-0.04%"
"2014- 02- 18","395.04","396.09","396.85","391.20","7.08K","0.09%"
"2014- 02- 17","394.70","385.52","395.62","384.96","10.27K","3.51%"
"2014- 02- 14","381.31","378.92","382.94","378.92","4.30K","1.19%"
"2014- 02- 13","376.82","378.47","381.55","376.82","4.80K","-0.29%"
"2014- 02- 12","377.93","380.85","380.85","374.20","6.21K","-0.21%"
"2014- 02- 11","378.74","381.64","381.90","375.40","9.52K","-0.77%"
"2014- 02- 10","381.68","380.53","382.62","379.59","9.21K","0.54%"
"2014- 02- 07","379.62","382.93","382.93","376.41","13.45K","-0.78%"
"2014- 02- 06","382.59","379.20","385.03","379.20","7.16K","1.15%"
"2014- 02- 05","378.24","373.65","380.01","372.41","9.27K","2.39%"
"2014- 02- 04","369.41","371.72","372.38","367.81","7.25K","-2.35%"
"2014- 02- 03","378.29","378.36","383.11","377.35","6.72K","-1.17%"
"2014- 01- 29","382.77","372.68","384.17","372.58","9.63K","3.54%"
"2014- 01- 28","369.68","369.28","371.94","366.16","10.20K","-0.22%"
"2014- 01- 27","370.48","369.24","371.99","368.16","7.92K","-1.91%"
"2014- 01- 24","377.68","379.11","379.79","374.39","7.99K","-1.49%"
"2014- 01- 23","383.39","384.62","386.78","382.41","7.17K","-0.24%"
"2014- 01- 22","384.33","386.25","386.47","380.13","6.28K","-0.17%"
"2014- 01- 21","384.97","380.39","386.09","379.15","7.25K","1.49%"
"2014- 01- 20","379.30","377.09","379.57","374.93","5.18K","0.39%"
"2014- 01- 17","377.82","381.11","382.03","375.06","6.29K","-0.72%"
"2014- 01- 16","380.56","379.62","382.58","378.98","6.17K","0.85%"
