"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 10- 07","544.16","533.31","544.94","532.50","19.26M","0.86%"
"2022- 10- 06","539.52","543.61","544.73","539.52","10.27M","-0.57%"
"2022- 10- 05","542.64","544.79","548.72","538.03","20.15M","1.17%"
"2022- 10- 04","536.37","529.91","540.03","527.51","15.33M","2.45%"
"2022- 09- 30","523.53","534.80","536.00","523.52","19.38M","-1.91%"
"2022- 09- 29","533.72","538.73","546.75","533.38","18.86M","-0.34%"
"2022- 09- 28","535.53","535.56","540.22","523.78","23.26M","-1.05%"
"2022- 09- 27","541.20","555.49","555.93","535.28","23.99M","-2.23%"
"2022- 09- 26","553.53","571.10","571.58","553.32","24.17M","-4.12%"
"2022- 09- 23","577.32","571.99","577.33","569.00","14.91M","0.82%"
"2022- 09- 22","572.65","570.35","573.02","567.39","15.29M","-0.75%"
"2022- 09- 21","576.98","578.18","584.66","576.17","11.37M","-1.22%"
"2022- 09- 20","584.09","580.65","584.47","580.02","13.27M","1.50%"
"2022- 09- 19","575.46","578.43","578.91","572.44","9.58M","-0.49%"
"2022- 09- 16","578.32","576.31","578.68","572.71","17.59M","0.06%"
"2022- 09- 15","577.99","578.66","584.06","576.76","11.42M","-0.18%"
"2022- 09- 14","579.02","576.26","582.93","572.23","14.00M","-1.69%"
"2022- 09- 13","588.96","575.69","589.65","575.69","21.38M","3.71%"
"2022- 09- 08","567.89","563.76","567.89","560.35","20.67M","1.31%"
"2022- 09- 07","560.55","567.38","567.38","557.45","14.42M","-2.00%"
"2022- 09- 06","572.01","573.18","575.55","569.93","7.82M","-0.18%"
"2022- 09- 05","573.05","570.94","578.18","568.76","11.18M","0.71%"
"2022- 09- 02","569.00","572.20","573.75","566.60","14.56M","-0.23%"
"2022- 09- 01","570.33","583.36","584.35","570.21","19.34M","-3.39%"
"2022- 08- 31","590.34","582.68","590.57","578.86","19.34M","0.60%"
"2022- 08- 30","586.79","581.82","588.39","581.43","10.48M","1.14%"
"2022- 08- 29","580.15","588.29","588.37","578.93","13.29M","-2.41%"
"2022- 08- 26","594.47","597.14","598.60","593.35","10.56M","-0.33%"
"2022- 08- 25","596.41","594.38","599.49","593.74","9.91M","0.62%"
"2022- 08- 24","592.71","588.21","593.92","587.20","13.05M","1.32%"
"2022- 08- 23","585.01","588.12","589.00","583.15","13.52M","-1.08%"
"2022- 08- 22","591.39","594.17","595.60","585.73","14.04M","-1.46%"
"2022- 08- 19","600.15","598.41","602.05","590.47","40.93M","-0.36%"
"2022- 08- 18","602.33","607.64","609.54","602.33","11.71M","-1.73%"
"2022- 08- 17","612.96","612.47","617.02","609.92","12.03M","0.54%"
"2022- 08- 16","609.64","618.00","618.98","609.36","12.40M","-0.90%"
"2022- 08- 12","615.16","618.63","624.65","612.45","13.99M","-0.23%"
"2022- 08- 11","616.57","610.68","616.57","608.57","17.22M","2.17%"
"2022- 08- 10","603.48","611.64","612.41","601.60","12.93M","-1.31%"
"2022- 08- 09","611.50","606.74","613.35","605.11","12.51M","0.85%"
"2022- 08- 08","606.33","600.55","608.21","598.55","13.58M","0.61%"
"2022- 08- 05","602.68","593.16","607.59","591.79","15.57M","1.84%"
"2022- 08- 04","591.80","590.01","593.86","585.93","16.22M","0.75%"
"2022- 08- 03","587.40","580.25","588.07","579.21","11.67M","1.25%"
"2022- 08- 02","580.16","582.38","583.78","577.85","11.62M","-0.53%"
"2022- 08- 01","583.25","588.00","589.11","581.60","12.14M","-1.03%"
"2022- 07- 29","589.34","585.47","592.08","583.67","19.34M","1.30%"
"2022- 07- 28","581.78","582.95","588.08","579.11","12.59M","0.49%"
"2022- 07- 27","578.93","576.81","578.96","574.21","11.89M","0.02%"
"2022- 07- 26","578.83","580.28","581.11","576.54","9.99M","-0.52%"
"2022- 07- 25","581.87","580.50","587.14","579.82","12.12M","0.04%"
"2022- 07- 22","581.65","584.57","588.27","578.55","12.44M","-1.32%"
"2022- 07- 21","589.44","580.65","589.69","577.01","14.63M","0.91%"
"2022- 07- 20","584.11","580.57","590.71","580.01","19.76M","2.40%"
"2022- 07- 19","570.44","567.76","574.48","566.44","10.95M","0.01%"
"2022- 07- 18","570.40","556.16","573.54","556.10","20.54M","4.08%"
"2022- 07- 15","548.04","557.47","557.47","539.24","20.87M","-2.20%"
"2022- 07- 14","560.39","563.00","567.05","556.85","17.94M","-1.18%"
"2022- 07- 13","567.10","573.61","574.85","564.59","15.71M","-0.50%"
"2022- 07- 12","569.95","572.28","573.37","566.56","14.90M","-1.14%"
"2022- 07- 11","576.50","579.68","582.33","575.15","10.24M","-0.81%"
"2022- 07- 08","581.23","572.64","584.27","571.45","13.81M","1.50%"
"2022- 07- 07","572.62","572.87","577.06","565.43","17.72M","0.20%"
"2022- 07- 06","571.45","586.13","587.99","569.26","23.79M","-3.84%"
"2022- 07- 05","594.26","592.43","594.75","587.55","13.70M","1.22%"
"2022- 07- 04","587.12","593.90","596.19","578.80","15.74M","-1.44%"
"2022- 07- 01","595.67","598.70","603.77","590.36","16.02M","0.39%"
"2022- 06- 30","593.38","599.33","602.16","592.29","17.18M","-1.20%"
"2022- 06- 29","600.58","608.27","608.27","599.38","18.63M","-2.67%"
"2022- 06- 28","617.04","615.76","618.51","611.32","16.13M","0.56%"
"2022- 06- 27","613.60","614.85","620.40","605.57","17.50M","-0.45%"
"2022- 06- 24","616.37","605.10","618.46","601.64","16.72M","1.98%"
"2022- 06- 23","604.41","613.58","620.78","603.99","23.73M","-1.63%"
"2022- 06- 22","614.44","634.58","635.06","612.87","21.75M","-3.15%"
"2022- 06- 21","634.44","635.84","639.29","630.46","12.62M","0.21%"
"2022- 06- 20","633.12","641.34","643.97","628.30","17.09M","-1.28%"
"2022- 06- 17","641.31","641.66","646.23","632.69","48.95M","-1.23%"
"2022- 06- 16","649.29","659.94","662.90","649.19","15.66M","-0.44%"
"2022- 06- 15","652.17","655.30","657.26","648.84","16.77M","-0.83%"
"2022- 06- 14","657.66","652.03","657.73","643.78","22.14M","0.39%"
"2022- 06- 13","655.09","668.64","671.60","654.51","22.37M","-3.68%"
"2022- 06- 10","680.09","685.31","685.59","676.45","19.14M","-1.79%"
"2022- 06- 09","692.47","688.20","694.72","687.19","27.24M","0.40%"
"2022- 06- 08","689.69","691.33","693.12","686.66","12.13M","0.05%"
"2022- 06- 07","689.32","696.68","697.20","688.16","13.93M","-1.35%"
"2022- 06- 03","698.76","701.77","704.49","697.10","9.89M","0.19%"
"2022- 06- 02","697.45","712.98","713.35","695.33","17.86M","-2.27%"
"2022- 05- 31","713.66","711.97","721.52","705.69","45.24M","0.00%"
"2022- 05- 30","713.67","714.39","720.30","712.69","10.86M","0.30%"
"2022- 05- 27","711.57","704.50","711.91","702.58","16.00M","1.53%"
"2022- 05- 26","700.85","698.72","707.26","695.77","14.15M","-0.03%"
"2022- 05- 25","701.07","700.17","705.70","698.39","14.98M","0.58%"
"2022- 05- 24","697.00","697.02","704.04","696.46","14.08M","0.43%"
"2022- 05- 23","694.00","689.02","695.22","683.12","12.50M","0.56%"
"2022- 05- 20","690.14","675.61","693.17","675.59","18.97M","2.12%"
"2022- 05- 19","675.82","677.98","679.09","671.60","26.45M","-2.29%"
"2022- 05- 18","691.68","694.72","697.94","690.54","38.13M","-0.65%"
"2022- 05- 17","696.21","697.55","700.51","693.88","15.92M","0.06%"
"2022- 05- 16","695.82","694.70","698.48","692.58","13.42M","0.32%"
"2022- 05- 13","693.57","681.23","694.18","676.60","19.80M","2.22%"
"2022- 05- 12","678.50","670.51","685.68","670.34","23.33M","0.54%"
"2022- 05- 11","674.87","684.53","685.33","672.42","21.66M","-2.00%"
"2022- 05- 10","688.67","699.59","699.59","681.43","19.39M","-2.00%"
"2022- 05- 09","702.75","704.01","707.26","699.29","13.09M","-0.47%"
"2022- 05- 06","706.04","709.10","709.10","699.68","15.76M","-0.71%"
"2022- 05- 04","711.08","704.08","712.16","702.79","12.81M","1.37%"
"2022- 05- 03","701.46","700.67","707.11","699.02","12.23M","-0.07%"
"2022- 05- 02","701.95","701.55","703.67","694.95","14.65M","-0.69%"
"2022- 04- 29","706.82","706.86","709.17","702.86","18.11M","-0.72%"
"2022- 04- 28","711.95","697.33","711.95","695.20","16.97K","2.00%"
"2022- 04- 27","698.02","705.31","705.31","693.80","19.34M","-2.14%"
"2022- 04- 26","713.31","718.84","719.03","711.71","16.97K","-0.53%"
"2022- 04- 25","717.09","724.80","731.46","716.74","19.03M","-1.91%"
"2022- 04- 22","731.02","720.20","731.04","716.60","17.28M","1.06%"
"2022- 04- 21","723.34","721.06","723.35","717.30","12.73M","0.75%"
"2022- 04- 20","717.93","714.78","724.21","714.10","17.18M","0.14%"
"2022- 04- 19","716.95","713.14","718.19","710.44","12.25M","0.98%"
"2022- 04- 18","709.99","708.49","711.79","705.49","8.11M","-0.48%"
"2022- 04- 15","713.43","716.82","719.62","712.50","11.92M","-1.10%"
"2022- 04- 14","721.33","717.28","722.51","715.68","15.73M","0.25%"
"2022- 04- 13","719.50","719.62","720.61","712.65","12.26M","0.17%"
"2022- 04- 12","718.29","722.47","725.73","716.63","14.42M","-0.51%"
"2022- 04- 11","721.95","710.61","722.06","710.51","14.24M","1.53%"
"2022- 04- 08","711.06","712.44","714.04","706.01","11.52M","-0.23%"
"2022- 04- 07","712.73","716.43","721.30","709.95","17.43M","-1.34%"
"2022- 04- 06","722.42","716.22","725.84","713.46","17.68M","0.60%"
"2022- 04- 05","718.08","733.46","733.76","715.05","15.86M","-2.12%"
"2022- 04- 04","733.61","729.54","734.81","729.08","10.71M","0.23%"
