Date,Close,Open,High,Low,Volume
2019-01-31,736.07,733.09,741.82,730.3,21270000
2019-01-30,729.06,721.1,729.06,717.57,12590000
2019-01-29,723.52,723.27,723.73,718.38,11160000
2019-01-28,722.58,725.73,726.68,721.46,9990000
2019-01-25,726.11,718.76,727.41,716.33,12050000
2019-01-24,723.2,714.52,723.47,714.52,17740000
2019-01-23,710.19,710.58,712.32,705.65,11630000
2019-01-22,709.79,708.81,711.27,705.82,10120000
2019-01-21,710.7,715.0,715.87,709.03,9370000
2019-01-18,714.78,717.46,717.81,712.39,11570000
2019-01-17,718.82,716.99,720.44,712.73,14610000
2019-01-16,714.64,703.5,715.56,703.3,14750000
2019-01-15,703.57,684.51,703.91,684.47,15460000
2019-01-14,682.31,687.48,690.6,679.33,9780000
2019-01-11,688.02,689.31,692.32,685.66,9930000
2019-01-10,687.1,691.57,693.46,686.24,12920000
2019-01-09,694.74,688.33,696.89,687.78,11670000
2019-01-08,685.89,690.88,690.88,682.47,15350000
2019-01-07,688.56,697.36,701.11,688.05,24680000
2019-01-04,691.11,691.63,695.16,690.12,14010000
2019-01-03,693.83,695.96,697.23,691.26,13930000
2019-01-02,693.53,707.48,708.22,689.05,14190000
2018-12-28,703.99,700.46,704.3,699.67,11650000
2018-12-27,698.42,704.58,705.51,694.87,16640000
2018-12-26,723.19,730.56,732.62,718.06,16960000
2018-12-24,736.76,731.27,740.24,729.15,9660000
2018-12-21,737.15,731.03,737.15,727.0,13870000
2018-12-20,732.87,732.49,734.42,726.91,12150000
2018-12-19,732.57,730.91,735.62,724.76,11490000
2018-12-18,730.99,728.08,732.22,725.71,16559999
2018-12-17,724.81,727.99,733.05,724.75,11380000
2018-12-14,724.74,723.43,730.72,719.38,12460000
2018-12-13,719.71,716.33,725.2,715.08,23420000
2018-12-12,715.24,708.6,717.54,706.16,13760000
2018-12-11,705.77,705.11,708.19,700.57,11370000
2018-12-10,708.16,709.64,711.38,703.64,13770000
2018-12-07,719.86,722.18,724.18,718.78,10660000
2018-12-06,724.55,728.06,729.09,720.7,13790000
2018-12-05,730.38,723.46,730.88,719.95,12840000
2018-12-04,730.08,727.74,731.5,726.43,14100000
2018-12-03,727.31,733.33,734.74,726.15,14650000
2018-11-30,724.71,736.51,738.38,721.9,18120000
2018-11-29,738.84,741.09,741.97,734.96,14970000
2018-11-28,733.34,739.4,739.45,727.05,12330000
2018-11-27,738.88,736.97,741.23,733.64,10000000
2018-11-26,735.0,732.7,735.64,729.82,10940000
2018-11-23,730.68,736.93,737.21,726.67,7460000
2018-11-22,736.49,735.24,736.5,731.61,8860000
2018-11-21,737.04,735.36,739.52,730.37,12780000
2018-11-20,741.08,738.11,741.15,734.49,9960000
2018-11-19,737.47,741.44,746.93,735.27,10120000
2018-11-16,740.46,741.21,741.76,735.56,10270000
2018-11-15,740.4,737.52,742.96,735.74,10910000
2018-11-14,740.87,742.58,744.61,736.11,10880000
2018-11-13,744.8,742.34,744.98,735.02,15610000
2018-11-12,749.09,739.31,750.13,738.28,10200000
2018-11-09,742.44,743.96,751.18,741.07,14690000
2018-11-08,743.19,748.51,755.43,743.19,18530000
2018-11-07,738.15,740.78,749.27,735.46,21350000
2018-11-06,740.35,738.38,743.98,736.1,13500000
2018-11-05,734.63,737.53,737.8,727.86,13630000
2018-11-02,742.96,728.04,744.25,728.04,18850000
2018-11-01,724.29,733.8,734.22,722.8,14380000
2018-10-31,729.34,722.14,733.44,712.36,19500000
2018-10-30,725.67,752.18,753.17,725.67,19650000
2018-10-29,754.23,758.62,765.22,752.3,15360000
2018-10-26,752.81,757.26,771.97,747.13,18800000
2018-10-25,757.24,757.78,761.4,749.94,21680000
2018-10-24,771.04,759.82,773.57,755.12,13590000
2018-10-23,755.85,770.77,771.98,751.74,12600000
2018-10-22,774.44,754.99,775.47,754.45,10210000
2018-10-19,756.62,752.57,757.11,750.76,12950000
2018-10-18,757.82,760.29,768.63,753.29,10200000
2018-10-17,765.43,763.43,773.28,761.4,9750000
2018-10-16,755.57,766.91,769.06,754.38,9800000
2018-10-15,760.02,757.66,765.43,750.42,11130000
2018-10-12,757.32,763.24,763.73,746.58,15920000
2018-10-11,762.9,794.32,794.32,760.37,24520000
2018-10-10,799.99,804.14,804.38,795.34,15150000
2018-10-08,804.0,809.25,810.67,803.77,8330000
2018-10-05,808.92,810.12,815.95,805.39,12160000
2018-10-04,810.14,804.05,816.37,802.07,16850000
2018-10-02,802.49,802.32,813.02,800.64,10800000
2018-10-01,809.55,805.24,813.99,803.47,10030000
2018-09-28,802.99,793.13,804.12,789.93,13810000
2018-09-27,791.31,778.12,794.04,777.96,17210000
2018-09-21,781.66,773.68,783.13,773.41,19120000
2018-09-20,763.96,754.37,766.16,753.43,14940000
2018-09-19,751.07,749.24,751.54,746.54,10280000
2018-09-18,748.35,751.33,754.87,746.16,11530000
2018-09-17,753.9,756.09,757.68,751.37,7720000
2018-09-14,759.9,761.1,765.46,759.61,15070000
2018-09-13,763.22,756.67,764.14,755.29,14040000
2018-09-12,756.98,754.81,757.42,752.12,10090000
2018-09-11,753.54,751.34,754.61,750.23,9720000
2018-09-10,753.17,750.77,756.01,750.66,7880000
2018-09-07,753.36,752.56,753.36,747.45,10670000
2018-09-06,746.98,749.89,753.88,745.92,10210000
2018-09-05,749.42,757.89,759.27,748.68,10390000
2018-09-04,762.52,762.17,763.28,758.63,8000000
2018-09-03,763.16,762.84,764.38,759.55,7780000
2018-08-31,765.18,758.71,765.18,757.57,11330000
2018-08-30,761.1,769.56,769.56,759.65,11240000
2018-08-29,771.16,768.11,774.26,766.77,11460000
2018-08-28,771.12,767.62,774.25,766.42,11950000
2018-08-27,766.38,760.39,767.06,758.2,13530000
2018-08-24,757.27,752.04,759.01,750.2,8730000
2018-08-23,753.5,760.13,760.13,751.13,8580000
2018-08-22,758.23,762.17,763.39,756.84,10150000
2018-08-21,764.58,756.73,766.63,753.16,12010000
2018-08-20,760.43,764.04,765.95,757.2,8560000
2018-08-17,759.72,755.66,761.4,750.77,10050000
2018-08-16,755.24,754.19,758.69,747.49,12590000
2018-08-14,759.9,756.48,761.01,752.92,11550000
2018-08-13,756.68,765.08,767.27,750.91,16600000
2018-08-10,768.8,771.54,777.13,768.55,11490000
2018-08-09,772.14,780.05,781.29,768.9,13840000
2018-08-08,779.43,778.09,784.36,776.14,16700000
2018-08-07,775.59,779.43,780.19,774.31,11770000
2018-08-06,780.55,771.01,783.81,770.75,12850000
2018-08-03,772.72,768.34,773.84,762.72,10390000
2018-08-02,769.33,784.85,786.17,768.03,13420000
2018-08-01,787.06,786.55,793.85,784.71,10990000
2018-07-31,783.89,784.48,787.43,779.14,10340000
2018-07-30,784.76,782.47,788.06,778.79,7890000
2018-07-27,782.8,782.14,783.82,776.4,7870000
2018-07-26,778.14,789.88,791.55,777.47,12980000
2018-07-25,787.26,784.86,793.68,784.41,12110000
2018-07-24,782.1,783.94,784.35,776.93,10620000
2018-07-23,785.43,779.71,788.83,778.41,14630000
2018-07-20,775.46,771.66,777.29,766.87,11360000
2018-07-19,770.7,783.3,785.77,770.07,13530000
2018-07-18,782.5,788.01,789.48,780.87,10860000
2018-07-17,787.82,784.28,789.26,779.94,18900000
2018-07-16,783.07,789.43,792.48,781.44,9320000
2018-07-13,793.86,781.2,796.88,780.96,11590000
2018-07-12,775.0,785.57,786.25,775.0,13320000
2018-07-11,783.99,777.46,785.93,770.68,12370000
2018-07-10,789.88,802.35,803.07,789.5,12420000
2018-07-09,798.23,789.72,803.82,788.1,11750000
2018-07-06,789.3,773.22,794.17,772.85,14910000
2018-07-05,769.55,766.46,776.78,764.07,9170000
2018-07-04,766.66,761.16,770.64,760.47,8250000
2018-07-03,767.36,768.1,769.64,757.24,13050000
2018-07-02,768.96,779.74,787.5,768.9,16460000
2018-06-29,779.74,777.18,783.6,771.2,13920000
2018-06-28,774.62,784.82,786.2,774.04,12560000
2018-06-27,789.58,790.59,795.79,787.74,12720000
2018-06-26,793.83,792.11,799.3,785.54,12500000
2018-06-25,795.0,788.31,797.94,782.39,10770000
2018-06-22,787.45,775.64,788.82,775.35,14490000
2018-06-21,783.93,796.63,803.44,782.84,15560000
2018-06-20,810.12,812.11,818.25,806.37,17880000
2018-06-19,808.15,803.33,814.82,799.4,15990000
2018-06-18,813.0,807.39,817.33,804.68,17240000
2018-06-15,805.3,818.28,818.28,797.53,19960000
2018-06-14,820.43,831.35,832.92,817.38,21670000
2018-06-12,835.98,839.32,840.29,831.05,13840000
2018-06-11,835.7,828.12,836.79,825.86,11480000
2018-06-08,829.09,830.52,833.99,827.08,10440000
2018-06-07,832.02,826.28,836.18,823.04,17850000
2018-06-05,814.4,810.06,815.24,803.68,11440000
2018-06-04,808.32,792.11,809.54,791.91,12600000
2018-06-01,786.51,786.21,789.0,781.5,12520000
2018-05-31,782.05,793.54,793.75,781.98,28490000
2018-05-30,789.38,803.35,806.02,782.76,24050000
2018-05-29,813.57,814.41,817.26,809.01,10410000
2018-05-28,816.71,819.56,824.47,813.91,14380000
2018-05-25,816.64,825.56,826.43,815.19,12870000
2018-05-24,825.26,829.58,834.97,823.09,12550000
2018-05-23,825.33,824.18,829.48,823.29,13530000
2018-05-21,835.2,832.11,839.27,825.86,11320000
2018-05-18,833.91,839.96,840.93,829.54,12470000
2018-05-17,841.1,844.6,847.47,840.92,13190000
2018-05-16,847.44,839.86,848.15,837.54,14050000
2018-05-15,841.6,848.76,851.32,840.97,14990000
2018-05-14,851.99,849.13,854.3,847.01,14370000
