날짜,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2021-04-19,0.6544534556655083,-0.8375327076743454,-0.0183534070259208,-1.0681990186372876,-1.4581835577017552,0.3403861892701954,-1.6292563002935212,1.5840706816370027,neutral,63.38,1115.65,17.29,6.74,0.46,3353094.1,0.5,101.98,141.27,123.47,101.3,101.6,3.8,60.4,0.9,1.7
2021-04-20,0.7289778209157999,2.0812360894533013,-0.0177419108868587,-0.9211418554014889,-1.311468596916768,0.1689168649578133,-1.482735581479461,1.671828664326341,neutral,62.44,1114.47,18.68,6.88,0.47,3353094.1,0.5,101.98,141.27,123.47,101.3,101.6,3.8,60.4,0.9,1.7
2021-04-21,0.5999914605745204,-1.0435572789928282,-0.0184448162425847,-1.2865566246540792,-1.2611357271584152,-0.0122127029778013,-1.2223940467626335,1.7832137962012715,neutral,61.35,1116.11,17.5,6.77,0.47,3353094.1,0.5,101.98,141.27,123.47,101.3,101.6,3.8,60.4,0.9,1.7
2021-04-22,0.7147384313637087,0.7076160635491562,-0.0186465469276361,-1.0793397128218172,-1.056591511757448,-0.2138702886127855,-1.2167344481818327,1.9114754632087667,neutral,61.43,1115.66,18.71,6.86,0.47,3353094.1,0.5,101.98,141.27,123.47,101.3,101.6,3.8,60.4,0.9,1.7
2021-04-23,0.8571812594947652,1.2290943373559151,-0.0192139144793431,-0.8130771218115451,-0.8788200994194346,-0.4058676306245371,-0.9236930105537128,2.01610998103067,neutral,62.14,1118.59,17.33,6.93,0.48,3353094.1,0.5,101.98,141.27,123.47,101.3,101.6,3.8,60.4,0.9,1.7
2021-04-26,1.0925471142904992,0.5977015137425317,-0.0184069917391376,-0.3317991330398406,-0.7213960174092663,-0.5930348508246724,-0.6639803201236405,1.9452285334738977,down,61.91,1114.13,17.64,7.04,0.48,3353094.1,0.5,101.98,141.27,123.47,101.3,101.6,3.8,60.4,0.9,1.7
2021-04-27,1.300363909574799,1.810990663132417,-0.0186087224241889,0.151706994568771,-0.6271557506276688,-0.71016530475637,-0.7073705759097784,2.02623590211021,neutral,62.94,1109.23,17.56,7.12,0.49,3353094.1,0.5,101.98,141.27,123.47,101.3,101.6,3.8,60.4,0.9,1.7
2021-04-28,1.425729256765375,-0.9279608476405315,-0.0174550750690513,0.4669886399909759,-0.58003561723687,-0.7681267664957667,-0.3501870210325847,2.2456308588335583,neutral,63.86,1112.15,17.28,7.15,0.49,3353094.1,0.5,101.98,141.27,123.47,101.3,101.6,3.8,60.4,0.9,1.7
2021-04-29,1.218891113683968,-1.5477548663264604,-0.0183344947741972,-0.0109471405253701,-0.5543337262964344,-0.7657117055899584,-0.2646641980338201,2.3907690609736187,neutral,65.01,1108.66,17.61,7.06,0.49,3353094.1,0.5,101.98,141.27,123.47,101.3,101.6,3.8,60.4,0.9,1.7
2021-04-30,1.351253824125228,-0.1437304591180277,-0.0167584737972332,0.3121329908260059,-0.4076187655114475,-0.7814096014777118,-0.2703237966146209,2.522406035007626,neutral,63.58,1106.63,18.61,7.14,0.49,3353094.1,0.5,101.98,141.27,123.47,101.3,101.6,3.8,60.4,0.9,1.7
2021-05-03,1.1890911541058802,-1.8279728527827344,-0.0156993877007134,-0.063308403192662,-0.3037402896271867,-0.785032192836424,-0.7149167073508461,2.505529499875062,neutral,64.49,1116.76,18.31,6.72,0.47,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-04,1.0436634367560005,-0.0473733972933369,-0.0215022969378949,-0.4153543394238172,-0.0295867862625396,-0.8502388372932453,-0.716174395924357,2.542657877166705,neutral,65.69,1120.4,19.48,6.69,0.47,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-06,1.161297431543723,4.238930052514713,-0.0220539042798323,-0.1658027896903401,0.3591543142115497,-1.0627641970043666,0.2868322414508605,1.968855682659489,neutral,64.71,1123.99,18.39,7.03,0.49,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-07,1.4205424000900428,2.112542453127162,-0.0189775113327985,0.4502775987141807,0.4619618779732923,-1.241478704034173,0.1629499169600029,1.3849275670727337,neutral,64.9,1119.39,16.69,7.09,0.5,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-10,1.5808945635340388,2.313349146224488,-0.0181800447184547,0.8825365330739534,0.508011099241573,-1.141253676443133,0.3012956600462401,1.2431646719591851,neutral,64.92,1111.97,19.66,7.23,0.51,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-11,1.776722869332901,1.248532908171629,-0.0158759020501334,1.4651948389248832,0.4084162718473847,-1.1328009632728042,0.2484727399587675,1.233038750879647,neutral,65.28,1115.54,21.84,7.23,0.51,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-12,1.6053119359962156,-1.0075832796266129,-0.018079179375929,1.1376584298996952,0.2681267837975067,-1.154536511425078,-0.3847734568041442,1.0473968644214298,neutral,66.08,1118.23,27.59,7.04,0.5,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-13,1.8163093509399173,2.4543080895666654,-0.0177387588449048,1.793845317368524,0.298112323228015,-1.1110654151205306,-0.0936185520362909,0.723367389876178,up,63.82,1131.6,23.13,7.13,0.5,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-14,1.1832192408885231,-1.1740413736344082,-0.0169160758949296,0.3600379758194858,0.2392121564895166,-1.0989901105914897,-0.2476854022914185,0.433090985596057,neutral,65.37,1125.7,18.81,7.06,0.5,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-17,0.987097339428793,1.2377985438074446,-0.018432208074769,-0.2749815926987359,0.2327866837544077,-1.007217796170778,-0.4419982868989057,0.43646629262257,neutral,66.27,1125.53,19.72,7.04,0.49,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-18,1.2145850439912391,1.1847594335616611,-0.0172880168454931,0.5137795555660031,0.2542049262047708,-0.9866897784714084,-0.1244319220873165,0.3858366872248743,neutral,65.49,1135.51,21.34,7.13,0.5,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-20,1.0633832786442918,-1.2968717876020237,-0.0158286214208244,-0.0076049322700109,0.1696028685258367,-0.8647292027280944,-0.1256896106608275,0.3993379153309261,neutral,62.05,1130.37,20.67,7.02,0.49,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-21,0.9213808440045372,-1.7278777653527062,-0.0173636658523874,-0.5534989473119913,0.1824538139960545,-0.759674053325438,-0.5784574971248759,0.1158121251038311,down,63.58,1127.05,20.15,6.89,0.48,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-24,1.05746243281679,1.0033456308235935,-0.0189901195006142,-0.0855897915617227,0.3420197202512593,-0.7958999669125608,-0.1590183578588756,0.0044269932289008,neutral,66.05,1126.79,18.4,6.97,0.49,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-25,1.1895804802073269,1.6508267063873665,-0.0180035303690348,0.419083654997496,0.4501818446255927,-0.8985400554094093,0.6477888620485879,-0.1407112089111596,down,66.07,1122.19,18.84,7.05,0.5,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-26,1.0864305380224188,-0.0060751409292974,-0.0175307240759456,0.0458703998157337,0.4908765052812824,-0.906992768579738,0.4761143717643027,-0.0563285332483336,down,66.21,1121.38,17.36,7.02,0.49,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-27,0.9952690853229484,-4.065955497100135,-0.0178837527747855,-0.3050614669969678,0.5733367387151802,-0.8768045072571355,-0.518088445596336,-0.0428273051422812,down,66.85,1115.52,16.74,6.92,0.49,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-05-28,1.2352835380824234,0.7386522752305841,-0.0197403054856491,0.6485819551988188,0.7789518662386655,-0.8442011850287248,0.0585617653585698,-0.0732050683808985,down,66.32,1117.3,16.76,7.04,0.49,3377879.8,0.5,102.05,133.67,122.45,103.2,102.0,3.8,60.5,0.9,1.7
2021-06-01,1.4474553356695965,0.6017070477463069,-0.0187978449414246,1.7013775556369235,0.9481559815965336,-0.7017125915860413,1.4772344762792535,-0.1744642791762898,down,67.72,1106.98,17.9,7.14,0.5,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-02,1.5329406055922885,0.1382132301197398,-0.018167436550639,2.1804274055717223,0.9674323998018604,-0.6546189039227815,0.999941662631736,-0.1204593667520812,down,68.83,1107.21,17.48,7.18,0.5,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-03,1.442708872485566,-1.852770885312232,-0.0175370281598534,1.9431306194412288,0.9374468603713522,-0.6932598784157126,1.049620361285431,-0.0192001559566898,down,68.81,1109.88,18.04,6.0,0.5,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-04,1.3355464562687975,-1.2001877467036268,-0.017291168887447,1.6412178070404613,0.9042485845732894,-0.7898623146480405,0.7069002250036163,0.1056862040242922,down,69.62,1115.44,16.42,5.99,0.5,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-07,1.4476999987203198,1.2011585821109103,-0.0182367814736254,2.271781097884871,0.8710503087752266,-0.882842159521656,0.1447134326440899,0.2238219499522483,down,69.23,1109.68,16.42,6.01,0.5,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-08,1.366471865880212,0.2396328103120242,-0.0172123678385988,2.064564186052609,0.7821646026062199,-0.9420111517139568,0.0246041738737658,0.3858366872248743,down,70.05,1109.32,17.07,6.01,0.5,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-09,1.281867382940124,-1.641642040209813,-0.0163518603851765,1.8384080941066456,0.6611515327616687,-1.0615566665514624,0.1271057926149324,0.4162144504634916,down,69.96,1116.89,17.89,5.92,0.5,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-10,1.1873785127508178,-0.2073827531074305,-0.0175843087891623,1.5721455030963734,0.6215277842284971,-1.167819346407023,0.1629499169600029,0.4499675207286218,down,70.29,1116.41,16.1,5.9,0.5,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-11,1.0504161369559613,0.002640695542437,-0.0171209586219349,1.152141332339584,0.5894004205529525,-1.1871398336534886,0.337768628678066,0.6727377844784823,down,70.91,1111.26,15.65,5.88,0.49,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-14,0.942372933756589,-0.9990617917402262,-0.0168152105524039,0.78561249366854,0.5658403538575532,-1.1823097118418724,-0.0093534176110377,0.7166167758231521,down,70.88,1115.55,16.39,5.79,0.49,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-15,1.034953432150254,0.3319471566314617,-0.0195039023391045,1.2278980527943897,0.6450878509238965,-1.140046145990229,0.1390538340632891,0.7908735304064385,down,72.12,1116.32,17.02,5.8,0.49,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-16,1.117796341125135,2.002440432318456,-0.0186307867178664,1.6423318764589132,0.7254062601127579,-1.03136840522886,0.5408853333001319,0.6997402406905866,down,72.15,1116.03,18.15,5.9,0.5,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
2021-06-17,0.9367946162000996,-0.8690208826299333,-0.01654728698632,1.0752705424663258,0.6718606539868502,-0.9842747175656,0.7572077679440664,0.6929896266375607,down,71.04,1131.95,17.75,5.89,0.49,3405825.3,0.5,102.05,139.06,130.49,104.6,102.2,3.7,60.6,0.9,1.7
