,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2019-07-12,1.86529901595502,0.1741053824085935,-0.0375639837847617,1.9368996083601189,0.8205755974735421,0.5867192638222186,1.544165362373123,-1.1756440444169671,down,60.21,1174.08,12.39,0.0,0.79,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-15,1.8488686471440745,-0.3169690844296112,-0.036680279096068,1.776160228645293,0.7550785097494386,0.5523099494760505,1.6954057570943917,-1.093618817446774,down,59.58,1176.41,12.68,0.0,0.79,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-16,1.866861801677398,-0.1112256630292244,-0.0365204601630064,2.174917536014766,0.699166361692277,0.4834913207837142,1.9609423279790608,-1.0218467438478551,down,57.62,1178.43,12.86,0.0,0.79,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-17,1.8494177340195044,-0.1108136302794917,-0.0363919782756431,2.023451582052718,0.6081094348563284,0.4443358941139363,2.012317881911095,-0.9449480935632992,down,56.78,1177.88,13.97,0.0,0.78,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-18,1.832607228140953,-0.1950053508506224,-0.0376861982629853,1.876107150647461,0.5330274074652829,0.439589781790327,1.9719101428634287,-0.8988089033925659,down,55.3,1178.69,13.53,0.0,0.77,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-19,1.8480661355569072,0.1567538092093275,-0.0372882177826162,2.1893428649635327,0.4771152594081213,0.4739990961364951,2.0902470929315964,-0.7962773696798245,down,55.63,1170.77,14.45,0.0,0.78,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-22,1.826778459771003,-0.2512100470016941,-0.0367210172554759,2.0213908207743234,0.3381336342374627,0.4716260399746905,1.6786654080603578,-0.6834926825958094,down,56.22,1175.11,13.53,0.0,0.78,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-23,1.8128401006254704,-0.1686318837445113,-0.0371722707135323,1.909079331101784,0.1879695794553718,0.4419628379521317,1.6151675324140242,-0.5348219587123347,down,56.77,1174.76,12.61,0.0,0.78,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-24,1.7926505985904266,-0.2866119640585274,-0.0353703905858767,1.745248809469364,-0.0037292138834676,0.4324706133049126,1.6244035870534907,-0.3451386213437634,down,55.88,1176.8,12.07,0.0,0.78,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-25,1.766209953665871,-0.5177723939337522,-0.0354832039503908,1.5206258301242863,-0.243352705557017,0.4217918605767915,1.2705472436789202,-0.5860877255687051,down,56.02,1176.55,12.74,0.0,0.74,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-26,1.7160318607419542,-0.2971573618034247,-0.0368871035976772,1.0559241618461652,-0.3695544111717529,0.4621338153274715,1.2341802785360203,-0.8116570997367359,down,56.2,1182.39,12.16,0.0,0.74,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-29,1.676370893355121,0.3600255374035749,-0.0373414907603034,0.6355288610535418,-0.4989510966754695,0.6804549822135048,0.1957013850109746,-0.6476066457963499,neutral,56.87,1183.35,12.83,0.0,0.74,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-30,1.6375124375554546,-0.5062803244884413,-0.0372631481460575,0.1687664314970258,-0.6555051112355218,0.9319989353648032,-0.205489738390863,-0.5963408789399794,neutral,58.05,1181.85,13.94,0.0,0.73,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
2019-07-31,1.664966781326958,0.3265154453008051,-0.0371722707135323,0.5798883065368712,-0.812059125795574,1.1467605180081295,0.0034759978270725,-0.4733030384846899,neutral,58.58,1180.65,16.12,0.0,0.75,2808818.5,1.5,99.187,120.63,110.02,94.2,98.1,4.0,60.8,0.4,0.9
