날짜,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2014-04-15,-0.7089863847472725,-0.0496543709216627,0.5654109438068164,1.4376646531975334,0.4517892077021918,-0.0077825125020449,1.656559389734139,-1.341564399884786,down,103.75,1040.91,15.61,13.1,1.02,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-04-16,-0.7090089751743878,-0.0487615457422425,-0.073595125211311,1.1644386286234958,0.4734012247216113,-0.0220429958611602,1.7387356701539716,-1.341564399884786,neutral,103.76,1040.2,14.18,13.08,1.01,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-04-17,-0.7089812713735673,-0.0488092912006699,-0.4720184688144637,1.6992864836776933,0.4982754329892448,0.0448715799008427,1.9334577259314008,-1.307692045465274,neutral,104.3,1036.43,13.36,13.11,1.02,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-04-21,-0.7089367773904314,-0.0484308745050284,0.2770786497073214,2.65294025284731,0.479517833312013,0.0448715799008427,1.6690644758849829,-1.3128465341812867,neutral,104.37,1037.6,13.25,13.33,1.03,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-04-22,-0.7089529570206626,-0.0482054997128279,-0.141688845134137,2.520019484135615,0.4081573997573263,-0.1383207832508703,1.4862520259655,-1.2664561357371726,neutral,102.13,1038.41,13.19,13.28,1.03,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-04-23,-0.7089715406997253,-0.0491919498828298,0.5232860775852591,2.364945253971972,0.3261948446459434,-0.3160283451106163,1.3808520141226714,-1.239210981095391,neutral,101.44,1039.51,13.27,13.25,1.03,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-04-24,-0.7090098910025141,-0.0493348832590751,0.5778665237073457,2.0136546509482085,0.2295524289175964,-0.506899430071084,1.0545288136149291,-1.2642470691445955,neutral,101.94,1038.6,13.32,13.13,1.02,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-04-25,-0.7090512940657239,-0.0495568788416762,0.5470602538443664,1.5758600555882636,0.1431043608399188,-0.6549890649542057,0.7174869678350351,-1.320946445020735,neutral,100.6,1038.7,14.06,12.93,1.0,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-04-28,-0.7090819704920043,-0.049239099614337,0.2308086556583142,1.2066356980557795,0.0929481703986248,-0.7471337266592591,0.654366056787917,-1.34598253306994,neutral,100.84,1039.7,13.97,12.9,1.0,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-04-29,-0.7090992567478881,-0.0485741879139642,-0.0026077073726697,0.985101083536289,0.0395297887091165,-0.7394550048505046,0.0946145814644182,-1.3091647565269922,neutral,101.28,1033.44,13.71,12.88,1.0,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-04-30,-0.709121351101435,-0.0494687352235045,0.2188160973449348,0.690776524246109,-0.0220440711009273,-0.7054492368403062,0.1089061084939545,-1.2848650240086466,neutral,99.74,1029.44,13.41,25.25,0.99,1973451.6,2.5,94.214,127.53,116.75,99.0,99.7,3.6,60.7,0.9,1.3
2014-05-02,-0.7091462310988661,-0.0487376790045351,0.5060723711647606,0.3373760677507313,-0.0885112177832926,-0.6900917932227976,0.076154692384601,-1.2546744472434292,up,99.76,1030.71,12.91,25.17,0.99,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-07,-0.7091684399309288,-0.04959684732482,2.1052995641585275,0.0040192192356889,-0.1586483296198989,-0.6319528995279423,-0.6282984941129516,-1.3062193344035562,up,100.77,1025.51,13.4,24.69,0.97,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
2014-05-08,-0.7091913356340863,-0.0481644150976381,0.247489401043523,-0.3546558709387246,-0.1651727121163273,-0.548583919890037,-0.903410389431522,-1.3621823547488368,up,100.26,1022.92,13.43,24.73,0.96,1985945.9,2.5,94.369,117.82,109.21,98.8,99.5,3.5,60.3,0.9,1.3
