,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2015-05-28,-0.6556001193731088,-0.0317685346817278,-0.1385703933067895,1.3331139166227035,1.034235576964318,2.084250670576671,1.842690192388284,-0.7717470958810859,down,57.68,1107.42,13.31,11.04,1.52,2171395.4,1.75,94.89,98.46,99.02,97.8,100.6,3.7,60.4,0.5,0.6
2015-05-29,-0.6555799644829697,-0.0311798965754853,0.483539683213694,2.167237739767444,1.0344861779734351,2.015302200911889,2.1011093699724355,-0.7475656123985989,down,60.3,1107.0,13.84,11.06,1.53,2171395.4,1.75,94.89,98.46,99.02,97.8,100.6,3.7,60.4,0.5,0.6
2015-06-01,-0.655602492706725,-0.0308083110660291,-1.3060489615305657,1.6528432569154723,1.002158647797311,1.92939918952626,2.0086820728802937,-0.7324521852220445,down,60.2,1111.42,13.97,10.98,1.52,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-02,-0.6555881420314399,-0.0313199357841337,1.169245944357687,2.3303649542025298,0.9555468601015042,1.8604507198614788,2.2331483658183524,-0.7237619645955257,down,61.26,1113.8,14.24,11.06,1.53,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-03,-0.6556010047618154,-0.0318727536410129,5.491300546353939,2.0410860272709765,0.8620726837007734,1.6434325858346253,1.427081734035184,-0.7592785184604286,down,59.64,1106.53,13.66,10.83,1.49,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-04,-0.6556127976475038,-0.0317047533564537,0.9927491776795846,1.7550696446281262,0.8076922647223322,1.413981121212483,1.322079294481526,-0.8325786402667175,down,58.0,1105.69,14.71,11.01,1.52,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-05,-0.6556252053864606,-0.0313687476075771,0.477836042026752,1.432077760046656,0.7648394921632841,1.2613902457248518,1.3560321791276195,-0.8223770769225432,down,59.13,1111.7,14.21,10.99,1.52,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-08,-0.6556388428319544,-0.0317908535207894,1.3124262657310175,1.0438349896911516,0.7204831135495324,1.1325357286464075,1.305731609281556,-0.8083971567842305,down,58.14,1122.3,15.29,10.84,1.5,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-09,-0.6556490616932756,-0.0316872494728253,0.9941438672240138,0.7284557084499856,0.6816399571363602,1.0217660560702015,1.2705212103893115,-0.8144425276548523,down,60.14,1117.11,14.47,10.66,1.47,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-10,-0.6556618629383243,-0.0319691489451889,1.8761184120925305,0.3075874952074635,0.6620930784252155,0.9595994030937592,0.8756617370977126,-0.847692067443272,down,61.43,1119.08,13.22,10.48,1.45,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-11,-0.6556739755477122,-0.0320990942846098,-0.3951840008209378,-0.1219808361382623,0.6914133964919326,0.9109963834939953,0.357565867683258,-0.8779189217963809,down,60.77,1108.72,12.85,10.46,1.44,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
