날짜,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2020-09-02,-0.2083635598039555,0.1725517707685682,-0.0450914811170059,1.5352268523806318,0.532671637216348,0.1018306112818951,1.3673564219926015,-1.251388386379828,up,41.51,1184.92,26.57,7.67,0.74,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-03,-0.2465292483068712,-1.982166640786169,-0.0447145975095667,1.2154540077676297,0.5042190798014954,0.1232466777225691,1.3877224466867857,-1.1846296891706525,up,41.37,1188.65,33.6,7.63,0.74,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-04,-0.2855785337803548,1.721386259637569,-0.0455521166372093,0.8441048978944663,0.477663359547633,0.1282857521791987,1.6355090804660242,-1.1846296891706525,up,39.77,1190.78,30.75,7.56,0.73,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-08,-0.2939299503086254,-1.2783002212373298,-0.0447392304250856,0.9425686770275024,0.3809246643371343,0.2341063157684125,1.651349321894834,-1.3540940743939445,up,36.76,1186.81,31.46,7.65,0.74,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-09,-0.3228321221846198,-0.5793313311686267,-0.0450693114930389,0.63029783463416,0.2879796434486159,0.1320650580216703,1.1331471380094855,-1.3951763495995912,up,38.05,1189.24,28.81,7.55,0.73,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-10,-0.3461476809563786,-1.601672468831279,-0.0446209924305949,0.3639767558362352,0.2196935056529697,0.1245064463367266,0.731483873207523,-1.3181470835890037,up,37.3,1184.38,29.71,8.32,0.71,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-11,-0.3722280431521724,1.493367107490288,-0.0452614482340863,0.0470171620556056,0.1476136935353432,0.1156880660376254,0.721300860860431,-1.3232823679897094,up,37.33,1187.23,26.87,8.26,0.71,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-14,-0.342100236768616,0.3883888916489707,-0.0449683165394114,0.4577517835819835,0.0812243929006871,0.2378856216108841,0.7388382710137558,-1.3181470835890037,up,37.26,1186.97,25.85,8.31,0.71,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-15,-0.3752778778570357,-0.3704575211751122,-0.0450126557873454,0.0554569145527233,-0.0306889995977329,0.2504833077524574,0.5826987483583452,-1.251388386379828,up,38.28,1180.84,25.59,8.23,0.71,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
2020-09-16,-0.3977098396582266,-0.3621357694904927,-0.0448722481688877,-0.2371211720140118,-0.1350150434521923,0.2996142837045925,0.5148119993777317,-1.1897649735713582,up,40.16,1179.25,26.04,8.21,0.71,3113489.0,0.5,100.74,107.69,113.8,80.6,99.4,4.1,59.8,2.3,7.9
