,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2018-06-12,-0.9039784594705368,0.4141103836417646,0.0235160625836522,1.266744371469619,1.4466528988503764,0.4632198274405538,1.182524004374817,0.6815158556201916,down,66.36,1076.38,12.34,14.15,1.07,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-14,-1.0056397827784915,-2.505702555924082,0.0250213890366651,0.980956125169548,1.3505993635061595,0.3864657363114084,1.171734318056436,0.7986458422790247,down,66.89,1084.7,12.12,14.05,1.06,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-15,-1.1568284174416037,-2.609518311535258,0.0233232368210972,0.5049813946769041,1.282209246341078,0.302734000534159,1.0656357359256845,0.6066294707071669,down,65.06,1090.77,11.98,15.12,1.04,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-18,-1.0307588976284756,-1.941503015850776,0.0243902060405683,1.0846942074564068,1.323704373609779,0.302734000534159,0.9775199643255694,0.610469798138604,down,65.85,1103.82,12.31,15.21,1.05,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-19,-1.1753122944066865,-2.601784659363546,0.0229183027197316,0.617872837165544,1.298346240278906,0.2387722579265378,0.7113743684721604,0.4683776831754295,down,65.07,1104.16,13.35,14.96,1.03,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-20,-1.042607536708657,0.2334375718751761,0.024786141606348,1.281999971805922,1.4143789109747198,0.2166763832075417,1.2172907714007126,0.4030921168409979,down,66.22,1111.12,12.79,15.15,1.04,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-21,-1.1382260540857192,-1.2855892750980509,0.0233020259872161,0.9789220451247082,1.4082314847126898,0.1596922852480244,1.0440563632889217,0.3147645859179431,down,65.54,1107.72,14.64,15.01,1.03,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-22,-1.0452142373062967,1.983481604162589,0.0222884052287185,1.4772716561105967,1.4781584584432794,0.177136396868285,1.627298851499208,0.2725209841721346,down,68.58,1109.63,13.77,15.25,1.05,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-25,-1.1510225842923147,0.3329168922195636,0.0238541504206653,1.153852928980979,1.3813364948163094,0.1969063900379131,1.1016013569869565,0.072823957737402,down,68.08,1110.53,17.33,15.16,1.04,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-26,-1.2365697584512232,-0.1465018953480722,0.0241266774984098,0.8680646826809082,1.3014199534099211,0.0945676018657194,1.1615440587557424,0.0517021568644978,down,70.53,1114.03,15.92,15.1,1.04,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-27,-1.3458142107704938,-1.2550181120060786,0.0224118137167537,0.4693849938921984,1.2168928423070104,-0.0019564824330544,1.1543509345434877,0.0421013382859048,down,72.76,1117.6,17.91,15.01,1.03,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-28,-1.2270908471870785,-2.1038866431145014,0.024160100630586,1.090796447590928,1.1577238645349732,-0.0717329289140954,1.668059888701982,0.0709037940216838,neutral,73.45,1122.78,16.85,15.09,1.04,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-06-29,-1.089765120247778,0.3883646832533188,0.0253144841957488,1.9349396661996776,1.0040382079842267,-0.2554775713141709,1.8544816912029056,0.1189078869146483,neutral,74.15,1120.54,16.09,15.1,1.04,2619495.8,1.5,98.779,124.84,122.64,98.1,100.2,3.6,60.7,0.7,0.7
2018-07-02,-1.1826584506363986,-1.2411970412633824,0.0254629600329161,1.6603388601462288,0.7919520019441965,-0.429918687516774,1.4564621514581688,0.0228997011287194,neutral,73.94,1114.51,15.6,14.9,1.03,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-03,-1.2677316792320996,-1.395818580613981,0.0275666891023915,1.38777213413762,0.6451821999382336,-0.5438868834358082,0.734752022161987,-0.1787174890217313,neutral,74.14,1118.17,16.14,14.66,1.01,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-05,-1.420816096148041,-0.4813833366534065,0.0226399908691105,0.8456898021876644,0.6198240666073604,-0.4694586738560307,0.0975611023597933,-0.3553725508678402,neutral,72.94,1114.31,14.97,14.47,1.0,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
