Date,forward_stage,WTI,USDKRW
080909,down,71.1,1220.7
090909,down,71.31,1223.0
100909,down,71.94,1220.3
110909,down,69.29,1220.9
140909,down,68.86,1219.9
150909,down,70.93,1193.3
160909,down,72.51,1204.5
170909,down,72.47,1184.2
180909,down,72.04,1187.2
210909,down,69.71,1205.2
220909,down,71.55,1203.2
230909,down,68.97,1196.4
240909,down,65.89,1194.2
250909,down,66.02,1157.8
280909,down,66.84,1176.0
290909,down,66.71,1162.8
300909,down,70.61,1173.7
011009,neutral,70.82,1160.1
021009,neutral,69.95,1181.5
051009,up,70.41,1163.9
061009,up,70.88,1167.8
071009,up,69.57,1164.2
081009,up,71.69,1166.5
091009,neutral,71.77,1162.5
121009,neutral,73.27,1169.3
131009,neutral,74.15,1165.4
141009,neutral,75.18,1155.2
151009,neutral,77.58,1156.4
161009,neutral,78.53,1153.0
191009,neutral,79.61,1166.4
201009,neutral,79.09,1179.9
211009,neutral,81.37,1179.4
221009,neutral,81.19,1185.4
231009,neutral,80.5,1189.7
261009,neutral,78.68,1183.8
271009,neutral,79.55,1187.3
281009,up,77.46,1185.1
291009,up,79.87,1185.1
301009,up,77.0,1185.5
021109,up,78.13,1185.4
031109,up,79.6,1181.6
041109,neutral,80.4,1169.1
051109,up,79.62,1173.4
061109,neutral,77.43,1166.4
091109,neutral,79.43,1153.7
101109,neutral,79.05,1158.6
111109,neutral,79.28,1153.9
121109,neutral,76.94,1160.6
131109,down,76.35,1154.4
161109,down,78.9,1151.4
171109,down,79.14,1151.2
181109,down,79.58,1155.6
191109,down,77.46,1160.7
201109,down,76.72,1158.7
231109,down,77.56,1153.6
241109,down,76.02,1152.3
251109,neutral,77.96,1149.8
261109,neutral,77.96,1159.9
271109,up,76.05,1172.1
301109,up,77.28,1160.6
011209,neutral,78.37,1139.5
021209,neutral,76.6,1151.2
031209,down,76.46,1150.8
041209,down,75.47,1152.7
071209,down,73.93,1150.4
081209,down,72.62,1159.1
091209,down,70.67,1158.4
101209,down,70.54,1163.5
111209,down,69.87,1161.7
141209,down,69.51,1155.0
151209,down,70.69,1156.3
161209,down,72.66,1168.1
171209,neutral,72.65,1172.4
181209,neutral,73.36,1167.9
211209,neutral,72.47,1187.1
221209,down,74.4,1178.5
231209,neutral,76.67,1182.2
241209,down,78.05,1156.1
251209,neutral,78.05,1154.7
281209,down,78.77,1170.2
291209,neutral,78.87,1166.8
301209,down,79.28,1161.6
311209,neutral,79.36,1151.1
010110,neutral,79.36,1146.0
040110,down,81.51,1132.4
050110,neutral,81.77,1141.3
060110,down,83.18,1130.4
070110,neutral,82.66,1134.9
080110,neutral,82.75,1123.1
110110,neutral,82.52,1121.3
120110,neutral,80.79,1123.6
130110,neutral,79.65,1119.5
140110,neutral,79.39,1120.7
150110,neutral,78.0,1121.8
180110,down,78.0,1122.3
190110,neutral,79.02,1128.1
200110,neutral,77.62,1132.2
210110,neutral,76.08,1142.1
220110,neutral,74.54,1154.2
250110,neutral,75.26,1130.8
260110,up,74.71,1159.6
270110,up,73.67,1163.8
280110,up,73.64,1153.1
290110,up,72.89,1158.2
010210,up,74.43,1163.2
020210,up,77.23,1157.4
030210,up,76.98,1148.4
040210,up,73.14,1147.0
050210,up,71.19,1162.9
080210,up,71.89,1173.4
090210,up,73.75,1158.5
100210,up,74.52,1158.4
110210,up,75.28,1152.6
120210,neutral,74.13,1150.8
150210,up,74.13,1146.4
160210,up,77.01,1145.2
170210,neutral,77.33,1147.5
180210,up,79.06,1152.4
190210,up,79.81,1146.2
220210,neutral,80.16,1147.9
230210,neutral,78.86,1156.2
240210,neutral,80.0,1158.6
250210,neutral,78.17,1161.1
260210,neutral,79.66,1161.4
010310,neutral,78.7,1148.0
020310,down,79.68,1142.1
030310,down,80.87,1143.2
040310,down,80.21,1143.5
050310,down,81.5,1137.8
080310,down,81.87,1131.3
090310,down,81.49,1132.0
100310,down,82.09,1129.7
110310,neutral,82.11,1131.4
120310,neutral,81.24,1126.8
150310,down,79.8,1131.9
160310,neutral,81.7,1132.2
170310,down,82.93,1129.5
180310,down,82.2,1129.8
190310,down,80.68,1133.2
220310,neutral,81.25,1134.4
230310,neutral,81.91,1140.2
240310,neutral,80.61,1138.7
250310,neutral,80.53,1144.8
260310,neutral,80.0,1135.8
290310,neutral,82.17,1133.4
300310,neutral,82.37,1130.1
310310,neutral,83.76,1131.6
010410,neutral,84.87,1124.2
020410,neutral,84.87,1103.7
050410,neutral,86.62,1132.2
060410,down,86.84,1121.5
070410,down,85.88,1121.3
080410,down,85.39,1122.1
090410,down,84.92,1113.7
120410,down,84.34,1113.0
130410,down,84.05,1120.5
140410,down,85.84,1111.8
150410,down,85.51,1104.5
160410,down,83.24,1108.1
190410,neutral,81.45,1115.0
200410,neutral,83.45,1117.5
210410,neutral,83.68,1105.9
220410,neutral,83.7,1109.6
230410,neutral,85.12,1106.6
260410,down,84.2,1097.7
270410,down,82.44,1114.4
280410,neutral,83.22,1110.9
290410,neutral,85.17,1111.8
300410,neutral,86.15,1107.9
030510,neutral,86.19,1115.7
040510,neutral,82.74,1120.4
050510,neutral,79.97,1121.0
060510,up,77.11,1144.9
070510,up,75.11,1151.0
100510,up,76.8,1138.5
110510,up,76.37,1141.4
120510,up,75.65,1143.1
130510,up,74.4,1108.9
140510,up,71.61,1132.4
170510,up,70.08,1122.3
180510,up,69.41,1162.1
190510,up,69.87,1120.8
200510,up,68.01,1182.6
210510,up,70.04,1193.5
240510,up,70.21,1193.5
250510,up,68.75,1243.6
260510,up,71.51,1257.4
270510,up,74.55,1225.5
280510,up,73.97,1203.3
310510,up,73.97,1200.0
010610,up,72.58,1218.5
020610,up,72.86,1212.5
030610,up,74.61,1200.1
040610,neutral,71.51,1203.5
070610,up,71.44,1237.8
080610,up,71.99,1235.3
090610,up,74.38,1252.4
100610,up,75.48,1249.7
110610,up,73.78,1241.4
140610,up,75.12,1226.4
150610,up,76.94,1228.9
160610,up,77.67,1211.6
170610,up,76.79,1210.6
180610,up,77.18,1202.6
210610,up,77.82,1180.1
220610,up,77.21,1185.5
230610,up,76.35,1178.1
240610,up,76.51,1190.3
250610,up,78.86,1210.3
280610,up,78.25,1207.0
290610,up,75.94,1216.6
300610,up,75.63,1227.2
010710,up,72.95,1223.1
020710,up,72.14,1228.9
050710,up,72.14,1221.6
060710,up,71.98,1223.5
070710,up,74.07,1217.3
080710,up,75.44,1205.1
090710,up,76.09,1196.8
120710,up,74.95,1201.5
130710,up,77.15,1211.9
140710,up,77.04,1176.5
150710,up,76.62,1198.2
160710,up,76.01,1201.6
190710,up,76.54,1215.4
200710,up,77.44,1207.9
210710,up,76.56,1207.8
220710,up,79.3,1202.8
230710,up,78.98,1193.4
260710,up,78.98,1188.7
270710,up,77.5,1181.0
280710,up,76.99,1185.4
290710,up,78.36,1184.3
300710,up,78.95,1184.1
020810,up,81.34,1172.2
030810,up,82.55,1171.7
040810,up,82.47,1171.6
050810,up,82.01,1167.3
060810,up,80.7,1163.7
090810,up,81.48,1160.1
100810,up,80.25,1160.5
110810,up,78.02,1159.7
120810,up,75.74,1186.3
130810,up,75.39,1188.5
160810,up,75.24,1182.2
170810,up,75.77,1188.3
180810,up,75.42,1175.9
190810,up,74.43,1174.9
200810,up,73.46,1174.6
230810,up,73.1,1180.6
240810,up,71.63,1183.7
250810,up,72.52,1195.4
260810,up,73.36,1195.1
270810,up,75.17,1190.8
300810,up,74.7,1195.6
310810,up,71.92,1193.1
010910,up,73.91,1199.6
020910,up,75.02,1184.6
030910,up,74.6,1178.3
060910,up,74.6,1172.0
070910,up,74.09,1173.0
080910,up,74.67,1181.0
090910,up,74.25,1170.8
100910,up,76.45,1167.8
130910,up,77.19,1166.1
140910,up,76.8,1160.4
150910,up,76.02,1161.1
160910,up,74.57,1157.9
170910,up,73.66,1161.9
200910,up,74.86,1159.9
210910,up,73.52,1162.0
220910,up,74.71,1148.7
230910,up,75.18,1158.5
240910,up,76.49,1152.6
270910,up,76.52,1154.2
280910,up,76.18,1148.5
290910,up,77.86,1145.7
300910,up,79.97,1139.2
011010,up,81.58,1137.2
041010,up,81.47,1128.6
051010,up,82.82,1123.3
061010,up,83.23,1129.4
071010,up,81.67,1117.3
081010,up,82.66,1115.2
111010,up,82.21,1092.6
121010,up,81.67,1100.2
131010,up,83.01,1124.0
141010,up,82.69,1118.1
151010,up,81.25,1109.7
181010,up,83.08,1111.5
191010,up,79.49,1119.7
201010,up,81.77,1133.8
211010,up,80.56,1123.6
