base_date,m_return,kospi,before_last
2021-01-31,0.055,2976.21,2020-12-29
2021-02-28,-0.018,3012.95,2021-01-28
2021-03-31,-0.012,3061.42,2021-02-25
2021-04-30,0.025,3147.86,2021-03-30
2021-05-31,0.009,3203.92,2021-04-29
2021-06-30,0.034,3296.68,2021-05-28
2021-07-31,-0.026,3202.32,2021-06-29
2021-08-31,-0.013,3199.27,2021-07-29
2021-09-30,-0.024,3068.82,2021-08-30
2021-10-31,-0.029,2970.68,2021-09-29
2021-11-30,-0.057,2839.01,2021-10-28
2021-12-31,0.023,2977.65,2021-11-29
2022-01-31,-0.11,2663.34,2021-12-29
2022-02-28,0.032,2699.18,2022-01-27
2022-03-31,0.03,2757.65,2022-02-25
2022-04-30,-0.019,2695.05,2022-03-30
2022-05-31,0.007,2685.9,2022-04-28
2022-06-30,-0.126,2332.64,2022-05-30
2022-07-31,0.031,2451.5,2022-06-29
2022-08-31,0.015,2472.05,2022-07-28
2022-09-30,-0.121,2155.49,2022-08-30
2022-10-31,0.057,2293.61,2022-09-29
2022-11-30,0.09,2472.53,2022-10-28
2022-12-31,-0.081,2236.4,2022-11-29
2023-01-31,0.063,2425.08,2022-12-28
2023-02-28,-0.015,2412.85,2023-01-30
2023-03-31,0.031,2476.86,2023-02-27
2023-04-30,0.02,2501.53,2023-03-30
2023-05-31,0.033,2577.12,2023-04-27
2023-06-30,-0.008,2564.28,2023-05-30
