base_date,before_last,KOSPI,m_return
2018-06-29,2018-06-28,2326.1298828125,0.005137709411425773
2018-07-31,2018-07-30,2295.260009765625,0.0007630226127415263
2018-08-31,2018-08-30,2322.8798828125,0.0067305716510142055
2018-09-28,2018-09-27,2343.070068359375,-0.005247391618497854
2018-10-31,2018-10-30,2029.68994140625,0.007445314383974111
2018-11-30,2018-11-29,2096.860107421875,-0.008154765355475657
2018-12-28,2018-12-27,2041.0400390625,0.006211718374818931
2019-01-31,2019-01-30,2204.85009765625,-0.0006118455015412527
2019-02-28,2019-02-27,2195.43994140625,-0.01760796180779356
2019-03-29,2019-03-28,2140.669921875,0.005906594446658531
2019-04-30,2019-04-29,2203.590087890625,-0.005793029396826355
2019-05-31,2019-05-30,2041.739990234375,0.0014419959465568066
2019-06-28,2019-06-27,2130.6201171875,-0.0017335502892587007
