"날짜","종가","시가","고가","저가","거래량","변동 %"
"2013- 07- 25","990.79","988.50","993.36","986.33","7.62K","0.03%"
"2013- 07- 24","990.52","992.44","993.37","986.76","8.51K","-0.15%"
"2013- 07- 23","992.05","986.93","993.14","984.75","7.30K","0.86%"
"2013- 07- 22","983.58","988.21","994.76","983.23","7.76K","0.17%"
"2013- 07- 19","981.88","981.82","986.73","974.93","6.93K","0.03%"
"2013- 07- 18","981.57","975.42","988.05","971.14","11.37K","0.21%"
"2013- 07- 17","979.53","973.58","981.28","963.06","12.33K","0.95%"
"2013- 07- 16","970.36","977.52","977.93","966.17","6.81K","-0.78%"
"2013- 07- 15","978.00","980.62","983.45","971.27","9.19K","-0.25%"
"2013- 07- 12","980.46","976.11","980.86","974.54","7.81K","0.27%"
"2013- 07- 11","977.79","968.30","978.41","965.59","7.70K","1.82%"
"2013- 07- 10","960.29","963.80","964.03","955.96","6.02K","-0.55%"
"2013- 07- 09","965.56","964.10","968.51","958.49","9.30K","0.15%"
"2013- 07- 08","964.11","976.03","977.95","959.66","8.58K","-1.34%"
"2013- 07- 05","977.18","969.35","977.18","963.66","14.40K","1.51%"
"2013- 07- 04","962.67","947.99","966.54","947.99","11.05K","1.78%"
"2013- 07- 03","945.83","950.60","955.40","943.55","10.03K","-0.59%"
"2013- 07- 02","951.49","941.70","954.22","940.83","7.41K","1.00%"
"2013- 07- 01","942.09","944.72","948.48","941.05","7.70K","-0.49%"
