"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 11- 16","785.38","787.02","789.95","782.78","1.32K","-1.50%"
"2015- 11- 13","797.38","791.02","802.30","789.83","1.17K","-0.40%"
"2015- 11- 12","800.60","806.11","806.19","798.02","1.42K","-1.20%"
"2015- 11- 11","810.29","801.23","810.93","795.60","1.18K","0.90%"
"2015- 11- 10","803.06","812.24","812.24","801.18","1.53K","-1.88%"
"2015- 11- 09","818.44","836.78","836.78","816.40","1.58K","-2.38%"
"2015- 11- 06","838.41","847.23","848.17","837.56","1.41K","-1.70%"
"2015- 11- 05","852.94","854.32","855.87","847.47","1.13K","-0.72%"
"2015- 11- 04","859.16","864.17","865.91","854.16","1.31K","-0.27%"
"2015- 11- 03","861.52","846.69","864.51","846.24","1.80K","2.39%"
"2015- 11- 02","841.37","841.87","845.31","835.77","1.37K","0.11%"
"2015- 10- 30","840.45","856.14","856.90","840.45","1.58K","-2.32%"
"2015- 10- 29","860.40","868.82","870.84","858.21","1.38K","-1.80%"
"2015- 10- 28","876.15","875.93","877.13","866.91","1.41K","0.17%"
"2015- 10- 27","874.69","886.59","886.67","871.36","1.49K","-1.72%"
"2015- 10- 26","890.02","885.80","892.92","885.80","1.28K","0.78%"
"2015- 10- 23","883.09","891.25","896.48","882.55","1.53K","0.78%"
"2015- 10- 22","876.28","882.44","882.69","870.58","1.50K","-1.40%"
"2015- 10- 21","888.73","872.30","893.92","871.80","2.07K","1.44%"
"2015- 10- 20","876.14","887.04","888.11","869.89","1.61K","-1.60%"
"2015- 10- 19","890.43","896.00","897.85","884.79","1.00K","-0.55%"
"2015- 10- 16","895.32","904.76","905.25","892.85","1.35K","-0.73%"
"2015- 10- 15","901.90","895.31","904.28","890.30","1.25K","0.63%"
"2015- 10- 14","896.27","902.67","906.36","888.67","1.36K","-0.91%"
"2015- 10- 13","904.46","913.36","913.36","897.29","2.02K","-1.19%"
"2015- 10- 12","915.38","912.69","920.99","900.86","3.60K","3.85%"
"2015- 10- 08","881.47","859.73","881.47","855.57","2.72K","3.14%"
"2015- 10- 07","854.67","847.11","854.70","846.33","1.52K","0.91%"
"2015- 10- 06","846.99","853.41","855.31","845.38","1.40K","0.61%"
"2015- 10- 05","841.87","848.00","850.22","840.03","1.35K","0.01%"
"2015- 10- 02","841.75","855.43","856.24","839.39","1.67K","-1.11%"
"2015- 10- 01","851.22","837.04","859.27","835.61","2.03K","1.62%"
"2015- 09- 30","837.66","833.42","838.00","825.01","1.87K","-0.92%"
"2015- 09- 25","845.44","847.61","848.59","836.81","1.56K","-0.22%"
"2015- 09- 24","847.29","853.59","855.74","844.57","1.35K","-0.29%"
"2015- 09- 23","849.78","855.29","862.69","847.23","3.48K","-2.33%"
"2015- 09- 22","870.04","870.68","871.82","863.17","1.82K","0.17%"
"2015- 09- 21","868.55","881.16","883.11","866.38","1.70K","-2.27%"
"2015- 09- 18","888.68","896.92","896.92","881.47","2.26K","-0.44%"
"2015- 09- 17","892.59","900.60","900.60","888.16","2.72K","0.24%"
"2015- 09- 16","890.48","876.12","897.19","873.89","2.62K","2.17%"
"2015- 09- 15","871.56","875.34","876.97","868.38","1.07K","-0.30%"
"2015- 09- 14","874.22","884.03","889.02","869.96","1.54K","-1.17%"
"2015- 09- 11","884.53","881.59","890.12","874.68","1.26K","-1.44%"
"2015- 09- 10","897.49","869.80","897.49","867.31","1.99K","2.00%"
"2015- 09- 09","879.93","838.76","880.77","836.80","2.59K","6.11%"
"2015- 09- 08","829.29","828.11","832.21","822.07","1.29K","0.26%"
"2015- 09- 07","827.14","834.79","835.64","824.15","1.19K","-1.17%"
"2015- 09- 04","836.93","847.41","851.22","835.84","1.41K","-1.17%"
"2015- 09- 03","846.81","849.81","851.14","843.02","1.29K","0.27%"
"2015- 09- 02","844.54","846.64","852.80","841.90","1.28K","-1.52%"
"2015- 09- 01","857.56","861.77","863.28","855.43","0.96K","-1.33%"
"2015- 08- 31","869.14","864.86","871.67","859.79","1.32K","0.50%"
"2015- 08- 28","864.83","852.44","873.61","851.21","1.54K","2.81%"
"2015- 08- 27","841.19","850.56","852.17","837.16","1.63K","-0.88%"
"2015- 08- 26","848.65","820.96","849.38","816.43","1.68K","3.24%"
"2015- 08- 25","822.01","825.25","831.49","806.99","1.65K","0.20%"
"2015- 08- 24","820.34","825.59","837.78","807.51","1.73K","-1.66%"
"2015- 08- 21","834.21","841.50","843.25","830.87","2.43K","-1.97%"
"2015- 08- 20","850.98","869.37","870.61","848.72","1.42K","-2.33%"
"2015- 08- 19","871.32","871.99","877.04","860.53","1.71K","-0.50%"
"2015- 08- 18","875.69","881.27","885.86","875.14","1.91K","0.26%"
"2015- 08- 17","873.42","886.51","887.01","872.11","1.14K","-1.37%"
"2015- 08- 13","885.53","873.40","887.10","866.72","1.15K","1.84%"
"2015- 08- 12","869.50","877.22","877.97","858.32","1.84K","-1.03%"
"2015- 08- 11","878.53","882.43","895.19","878.18","1.57K","0.70%"
"2015- 08- 10","872.45","888.06","889.07","871.06","1.61K","-1.38%"
"2015- 08- 07","884.66","891.92","895.74","881.84","1.30K","-0.57%"
"2015- 08- 06","889.77","900.64","904.17","887.87","1.66K","-1.01%"
"2015- 08- 05","898.81","900.22","908.55","896.70","1.36K","-0.36%"
"2015- 08- 04","902.08","892.46","902.27","888.32","2.02K","1.52%"
"2015- 08- 03","888.58","901.27","901.77","886.60","1.81K","-1.49%"
"2015- 07- 31","901.99","903.74","907.36","887.46","1.58K","-0.43%"
"2015- 07- 30","905.87","903.68","911.55","900.20","1.76K","0.71%"
"2015- 07- 29","899.44","902.27","904.18","889.25","2.01K","0.56%"
"2015- 07- 28","894.41","898.04","900.47","884.62","2.21K","-0.94%"
"2015- 07- 27","902.88","902.29","909.12","890.81","2.02K","-1.51%"
"2015- 07- 24","916.75","919.79","922.30","908.98","1.81K","-0.81%"
"2015- 07- 23","924.19","944.43","944.59","920.07","1.87K","-2.39%"
"2015- 07- 22","946.86","942.74","952.98","939.22","1.76K","-0.15%"
"2015- 07- 21","948.31","941.81","951.98","940.39","1.85K","0.96%"
"2015- 07- 20","939.31","949.00","949.44","933.38","1.82K","-1.03%"
"2015- 07- 17","949.08","966.24","966.26","947.89","1.93K","-1.70%"
"2015- 07- 16","965.50","969.96","972.03","962.80","2.44K","-0.83%"
"2015- 07- 15","973.58","990.51","998.87","967.90","2.07K","-1.30%"
"2015- 07- 14","986.37","978.18","986.37","974.13","2.04K","1.37%"
"2015- 07- 13","973.02","956.13","975.30","952.96","1.96K","1.73%"
"2015- 07- 10","956.45","966.14","966.14","951.28","2.44K","-0.82%"
"2015- 07- 09","964.38","952.51","964.38","941.64","2.06K","0.45%"
"2015- 07- 08","960.10","980.20","980.20","956.08","2.17K","-2.26%"
"2015- 07- 07","982.34","984.13","986.67","963.41","2.36K","0.64%"
"2015- 07- 06","976.13","985.50","991.64","973.73","2.03K","-2.07%"
"2015- 07- 03","996.77","1,014.61","1,014.66","995.82","1.74K","-1.63%"
"2015- 07- 02","1,013.25","998.14","1,013.25","995.04","1.94K","1.47%"
"2015- 07- 01","998.60","990.88","999.65","986.28","1.39K","0.65%"
"2015- 06- 30","992.20","973.03","994.18","973.03","1.75K","1.20%"
"2015- 06- 29","980.39","989.60","989.92","974.61","1.75K","-1.84%"
"2015- 06- 26","998.75","1,003.85","1,005.61","995.85","2.78K","-0.48%"
"2015- 06- 25","1,003.52","992.27","1,003.82","988.56","2.82K","0.89%"
"2015- 06- 24","994.63","1,002.81","1,003.44","987.06","1.69K","-0.53%"
"2015- 06- 23","999.94","999.62","1,005.36","997.18","1.74K","0.49%"
"2015- 06- 22","995.11","975.92","998.23","975.68","1.29K","2.16%"
