"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 01- 27","1,617.35","1,609.54","1,625.67","1,593.91","6.00M","1.11%"
"2023- 01- 26","1,599.65","1,570.58","1,600.71","1,557.68","5.63M","2.05%"
"2023- 01- 25","1,567.48","1,563.63","1,576.40","1,561.81","4.40M","1.43%"
"2023- 01- 20","1,545.43","1,532.47","1,545.59","1,522.50","4.25M","0.68%"
"2023- 01- 19","1,535.00","1,512.64","1,537.97","1,512.64","3.99M","0.58%"
"2023- 01- 18","1,526.19","1,542.76","1,544.32","1,518.14","3.74M","-0.81%"
"2023- 01- 17","1,538.72","1,546.66","1,556.42","1,533.32","4.59M","-0.59%"
"2023- 01- 16","1,547.89","1,549.03","1,562.00","1,544.78","4.59M","0.01%"
"2023- 01- 13","1,547.69","1,545.35","1,560.75","1,537.45","5.94M","0.84%"
"2023- 01- 12","1,534.85","1,535.87","1,541.69","1,528.88","9.96M","0.94%"
"2023- 01- 11","1,520.50","1,501.47","1,524.12","1,498.83","8.24M","1.85%"
"2023- 01- 10","1,492.90","1,497.83","1,510.47","1,485.83","5.02M","-0.06%"
"2023- 01- 09","1,493.80","1,459.05","1,495.32","1,447.53","5.50M","3.67%"
"2023- 01- 06","1,440.94","1,411.34","1,448.49","1,404.31","5.39M","1.45%"
"2023- 01- 05","1,420.38","1,443.72","1,446.29","1,412.41","7.21M","-1.02%"
"2023- 01- 04","1,435.02","1,421.19","1,442.09","1,400.07","4.24M","-0.05%"
"2023- 01- 03","1,435.69","1,452.47","1,453.59","1,408.24","4.99M","-0.81%"
"2023- 01- 02","1,447.48","1,467.03","1,482.67","1,446.16","3.42M","-0.87%"
"2022- 12- 29","1,460.21","1,485.84","1,490.09","1,459.88","4.94M","-2.64%"
"2022- 12- 28","1,499.75","1,516.42","1,516.42","1,491.86","5.53M","-3.21%"
"2022- 12- 27","1,549.56","1,549.59","1,558.22","1,538.74","5.75M","0.61%"
"2022- 12- 26","1,540.13","1,526.66","1,544.45","1,524.77","3.54M","0.73%"
"2022- 12- 23","1,528.93","1,539.83","1,549.00","1,527.60","4.67M","-1.89%"
"2022- 12- 22","1,558.41","1,547.75","1,562.26","1,541.42","3.79M","1.28%"
"2022- 12- 21","1,538.66","1,555.59","1,555.87","1,534.07","2.90M","-0.45%"
"2022- 12- 20","1,545.61","1,561.20","1,564.69","1,540.99","3.57M","-1.27%"
"2022- 12- 19","1,565.50","1,567.99","1,573.01","1,556.83","2.76M","-0.95%"
"2022- 12- 16","1,580.50","1,558.81","1,580.50","1,552.78","4.46M","0.06%"
"2022- 12- 15","1,579.55","1,593.90","1,605.76","1,579.52","3.95M","-1.48%"
"2022- 12- 14","1,603.29","1,578.46","1,603.49","1,576.55","4.97M","1.88%"
"2022- 12- 13","1,573.65","1,578.67","1,584.38","1,560.33","4.74M","0.07%"
