"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 03- 27","286.28","289.85","289.85","285.26","10.44M","-1.32%"
"2019- 03- 26","290.10","289.33","291.34","287.85","7.46M","1.21%"
"2019- 03- 25","286.63","292.04","295.48","285.71","10.74M","-2.74%"
"2019- 03- 22","294.71","296.61","298.20","293.96","6.12M","-0.76%"
"2019- 03- 21","296.97","299.95","301.94","295.80","8.21M","-1.12%"
"2019- 03- 20","300.33","301.94","302.41","298.01","6.07M","-0.93%"
"2019- 03- 19","303.16","304.07","304.50","302.12","5.44M","0.12%"
"2019- 03- 18","302.80","304.25","304.63","301.78","6.78M","0.31%"
"2019- 03- 15","301.87","302.45","307.26","300.82","14.13M","0.19%"
"2019- 03- 14","301.31","300.58","302.95","298.92","8.17M","0.58%"
"2019- 03- 13","299.57","301.11","302.50","298.12","6.96M","-0.32%"
"2019- 03- 12","300.52","300.96","302.68","299.49","6.90M","0.80%"
"2019- 03- 11","298.14","296.24","298.93","294.03","7.83M","0.26%"
"2019- 03- 08","297.38","302.55","302.64","296.21","11.72M","-2.47%"
"2019- 03- 07","304.92","310.47","311.13","303.91","12.15M","-1.98%"
"2019- 03- 06","311.07","311.38","312.82","309.78","10.33M","-0.70%"
"2019- 03- 05","313.25","310.29","313.74","308.24","9.60M","0.40%"
"2019- 03- 04","312.00","315.24","317.72","311.48","13.92M","-1.40%"
"2019- 02- 28","316.43","328.83","330.61","316.43","14.95M","-3.28%"
"2019- 02- 27","327.16","326.16","327.90","323.94","7.20M","0.68%"
"2019- 02- 26","324.96","327.39","328.05","323.76","12.56M","-0.75%"
"2019- 02- 25","327.40","330.17","330.56","326.08","12.09M","-0.47%"
"2019- 02- 22","328.95","329.38","330.70","327.47","13.76M","0.42%"
"2019- 02- 21","327.57","323.47","328.97","320.15","17.98M","1.03%"
"2019- 02- 20","324.24","324.07","325.97","321.09","9.74M","0.23%"
"2019- 02- 19","323.51","323.21","324.97","322.03","9.74M","0.47%"
"2019- 02- 18","322.00","320.19","322.27","316.71","12.37M","1.19%"
"2019- 02- 15","318.20","316.21","320.94","315.59","12.42M","0.73%"
"2019- 02- 14","315.89","320.58","321.30","311.62","22.68M","-2.04%"
"2019- 02- 13","322.46","330.75","330.80","322.12","15.39M","-2.14%"
"2019- 02- 12","329.50","329.71","332.71","328.94","15.46M","0.23%"
"2019- 02- 11","328.76","329.25","330.34","326.14","10.31M","0.46%"
"2019- 02- 08","327.24","327.28","332.86","326.53","12.81M","-0.67%"
"2019- 02- 07","329.44","330.38","331.13","326.04","18.58M","0.61%"
"2019- 02- 01","327.45","331.64","331.92","325.32","25.10M","-2.25%"
"2019- 01- 31","334.99","337.57","344.52","333.83","43.91M","-1.03%"
"2019- 01- 30","338.49","336.97","338.93","334.62","24.88M","1.03%"
"2019- 01- 29","335.05","339.48","341.11","333.74","52.51M","-0.73%"
"2019- 01- 28","337.51","335.91","341.01","335.91","21.73M","2.20%"
"2019- 01- 25","330.23","325.27","331.08","324.51","24.29M","1.01%"
"2019- 01- 24","326.93","328.01","331.15","326.38","50.59M","-0.53%"
"2019- 01- 23","328.66","326.22","329.10","324.71","34.19M","0.06%"
"2019- 01- 22","328.47","330.93","331.94","326.88","7.80M","-0.48%"
"2019- 01- 21","330.05","328.98","332.78","328.84","18.08M","1.35%"
"2019- 01- 18","325.66","323.08","326.10","321.38","11.40M","1.38%"
"2019- 01- 17","321.23","324.31","325.68","320.70","15.51M","-0.72%"
"2019- 01- 16","323.57","324.76","325.83","322.82","32.74M","-0.38%"
"2019- 01- 15","324.79","321.08","325.32","320.79","17.47M","1.52%"
"2019- 01- 14","319.92","316.63","320.14","315.75","11.47M","1.25%"
"2019- 01- 11","315.97","317.37","318.10","313.60","12.12M","0.19%"
"2019- 01- 10","315.37","319.93","323.62","315.19","20.73M","-0.44%"
"2019- 01- 09","316.76","316.24","321.56","316.13","15.35M","0.96%"
"2019- 01- 08","313.75","321.48","321.56","312.21","16.82M","-1.85%"
"2019- 01- 07","319.65","321.83","325.58","318.41","8.41M","0.65%"
"2019- 01- 04","317.60","308.58","318.23","306.69","9.78M","2.65%"
"2019- 01- 03","309.39","303.34","313.74","302.93","11.44M","2.82%"
"2019- 01- 02","300.90","312.93","313.38","300.19","8.77M","-2.65%"
"2018- 12- 28","309.08","310.72","312.50","308.23","6.39M","0.02%"
"2018- 12- 27","309.02","306.10","313.43","305.00","11.23M","2.76%"
"2018- 12- 26","300.72","305.01","308.18","299.29","13.80M","-3.79%"
"2018- 12- 24","312.56","312.35","313.75","310.25","7.83M","-0.75%"
"2018- 12- 21","314.91","313.45","314.91","308.43","11.03M","-0.27%"
"2018- 12- 20","315.77","316.16","320.40","312.58","8.76M","-0.60%"
"2018- 12- 19","317.69","325.80","326.01","315.26","9.69M","-2.12%"
"2018- 12- 18","324.58","323.55","327.89","321.76","8.83M","-0.41%"
"2018- 12- 17","325.91","332.61","334.08","324.83","7.87M","-1.68%"
"2018- 12- 14","331.47","334.01","337.94","329.22","16.91M","-0.50%"
"2018- 12- 13","333.15","324.18","334.41","323.16","21.83M","2.94%"
"2018- 12- 12","323.62","317.27","324.23","317.20","9.91M","2.05%"
"2018- 12- 11","317.12","320.12","320.22","314.24","6.90M","-0.76%"
"2018- 12- 10","319.56","317.52","323.51","317.03","8.35M","-1.25%"
"2018- 12- 07","323.62","324.52","326.29","321.65","8.07M","1.00%"
"2018- 12- 06","320.43","327.42","328.60","318.84","8.30M","-2.31%"
"2018- 12- 05","328.02","321.54","330.79","321.30","9.17M","0.43%"
"2018- 12- 04","326.62","324.87","328.63","322.50","9.09M","1.18%"
"2018- 12- 03","322.82","319.81","325.25","317.61","13.12M","2.73%"
"2018- 11- 30","314.23","317.07","318.06","313.72","24.38M","-0.91%"
"2018- 11- 29","317.10","322.13","322.79","314.75","7.97M","-0.27%"
"2018- 11- 28","317.97","317.18","320.07","315.58","8.24M","0.90%"
"2018- 11- 27","315.12","315.38","316.09","311.25","8.89M","0.11%"
"2018- 11- 26","314.78","320.87","321.73","310.10","13.10M","-0.83%"
"2018- 11- 23","317.41","319.19","322.00","314.60","9.08M","0.11%"
"2018- 11- 22","317.05","322.03","323.47","315.38","7.07M","-1.14%"
"2018- 11- 21","320.71","315.39","323.55","313.41","9.85M","-0.06%"
"2018- 11- 20","320.90","313.53","321.01","312.58","9.37M","1.68%"
"2018- 11- 19","315.60","317.08","320.00","312.89","10.29M","0.64%"
"2018- 11- 16","313.60","305.18","314.31","304.36","10.94M","3.14%"
"2018- 11- 15","304.06","295.35","304.14","295.34","7.66M","2.88%"
"2018- 11- 14","295.54","300.91","301.98","293.23","11.81M","-2.80%"
"2018- 11- 13","304.04","299.12","304.75","296.49","7.76M","-0.54%"
"2018- 11- 12","305.69","296.82","310.05","296.78","8.17M","1.56%"
"2018- 11- 09","301.00","301.09","304.10","292.79","8.50M","-0.38%"
"2018- 11- 08","302.16","300.73","305.50","299.92","11.04M","3.04%"
"2018- 11- 07","293.24","303.39","311.55","290.12","14.24M","-2.77%"
"2018- 11- 06","301.58","296.00","303.38","293.47","9.42M","3.34%"
"2018- 11- 05","291.84","289.83","294.16","288.09","8.22M","-0.02%"
"2018- 11- 02","291.91","281.32","292.49","280.78","12.29M","5.20%"
"2018- 11- 01","277.49","285.47","287.70","276.86","19.38M","-3.41%"
"2018- 10- 31","287.30","283.07","289.39","280.04","12.44M","1.08%"
"2018- 10- 30","284.22","274.91","286.46","274.08","16.57M","2.98%"
"2018- 10- 29","276.00","280.37","288.52","275.03","10.94M","-1.46%"
"2018- 10- 26","280.08","291.99","292.19","276.32","9.96M","-3.62%"
"2018- 10- 25","290.59","282.84","291.15","282.00","9.38M","-0.33%"
"2018- 10- 24","291.55","299.37","299.66","290.50","10.53M","-1.90%"
"2018- 10- 23","297.21","305.43","307.84","295.31","8.50M","-3.14%"
"2018- 10- 22","306.83","308.98","308.98","302.85","6.08M","-1.54%"
"2018- 10- 19","311.64","310.38","313.16","302.35","8.03M","-0.68%"
"2018- 10- 18","313.77","317.74","320.43","312.22","7.16M","-1.83%"
"2018- 10- 17","319.61","321.63","323.78","313.25","9.88M","0.74%"
"2018- 10- 16","317.26","318.18","319.44","312.09","6.51M","0.20%"
"2018- 10- 15","316.64","313.19","323.19","312.17","9.62M","0.79%"
"2018- 10- 12","314.17","309.93","315.69","307.76","10.91M","1.56%"
"2018- 10- 11","309.35","312.91","320.29","307.87","16.02M","-5.49%"
"2018- 10- 10","327.31","337.76","339.51","326.04","17.66M","-3.48%"
"2018- 10- 08","339.11","349.95","352.26","338.55","12.71M","-3.51%"
"2018- 10- 05","351.46","351.19","356.60","348.90","12.46M","-0.99%"
"2018- 10- 04","354.98","356.63","361.26","351.20","15.26M","0.94%"
"2018- 10- 02","351.67","344.04","355.23","342.71","13.44M","1.84%"
"2018- 10- 01","345.31","342.88","346.46","340.88","8.18M","1.21%"
"2018- 09- 28","341.19","343.14","343.31","337.92","10.26M","-0.16%"
"2018- 09- 27","341.75","334.77","342.22","334.68","12.32M","2.13%"
"2018- 09- 21","334.63","333.55","336.75","331.93","16.88M","1.18%"
"2018- 09- 20","330.72","329.62","332.29","325.21","12.73M","1.30%"
"2018- 09- 19","326.49","332.39","332.39","325.69","19.36M","-1.77%"
"2018- 09- 18","332.38","329.23","333.05","328.35","10.36M","0.20%"
"2018- 09- 17","331.71","330.04","332.38","326.97","9.69M","0.28%"
"2018- 09- 14","330.80","330.14","331.68","328.02","8.69M","0.46%"
"2018- 09- 13","329.29","325.22","330.05","323.88","9.46M","1.41%"
"2018- 09- 12","324.70","322.71","324.70","320.18","9.14M","1.06%"
"2018- 09- 11","321.29","320.84","322.01","319.24","9.06M","0.19%"
"2018- 09- 10","320.68","314.72","320.73","313.30","10.02M","1.40%"
"2018- 09- 07","316.25","313.29","316.47","310.22","9.88M","1.97%"
"2018- 09- 06","310.14","307.66","314.08","307.50","14.27M","1.19%"
